StationID,Date,month,SLP(mb),StnP(mb),T(degC),Precip(mm),Sun(%normal)
85120,1966,3,1021.9,1017.6,14.7,143.4,
85120,1967,3,1025.9,1021.6,15.6,6.2,
85120,1968,3,1025.1,1020.7,13.7,73.2,
85120,1969,3,1009.7,1005.4,14.1,148.3,31
85120,1970,3,1018,1013.6,13.5,138.4,34
85120,1971,3,1023.2,1018.8,14.4,38,40
85120,1972,3,1020.4,1016,13.3,100,32
85120,1973,3,1020.5,1016.1,14.2,80,88
85120,1974,3,1019.8,1015.4,13.7,134,105
85120,1975,3,1019.6,1015.2,14.9,104,92
85120,1976,3,1022.7,1018.3,13.8,79,97
85120,1977,3,1016.8,1012.4,14.4,168,
85120,1978,3,1026.4,1022,14,89,74
85120,1979,3,1023.5,1019.1,13.8,57,95
85120,1980,3,1019.9,1015.1,14.4,110,109
85120,1981,3,1010.7,1006.5,15.4,139,
85120,1982,3,1025.1,1020.7,14.6,98,97
85120,1983,3,1024.6,1020.2,14.6,75,
85120,1984,3,1015.8,1011.4,14.5,185,77
85120,1985,3,1023.5,1019.1,14.8,47,110
85120,1986,3,1027.4,1023,14.3,42,88
85120,1987,3,1018.3,1014,15.6,100,80
85120,1988,3,1023.8,1019.5,15.5,64,90
85120,1989,3,1024.1,1019.7,14.4,55,145
85120,1990,3,1024.3,1019.9,15.1,86,
85120,1992,3,1029.3,1025,16,323,
85120,1993,3,1018.7,1014.4,14,100,
85120,1994,3,1029.1,1024.7,14.8,18,95
85120,1995,3,1023.4,1019.1,15.7,15,110
85120,1996,3,1011.9,1007.5,13.9,191,85
85120,1999,3,1020.4,1016,14.9,77,
85120,2000,3,1021.8,1017.4,15.4,87,
85120,2001,3,1011.2,1006.8,14.6,147,
85120,2002,3,1021.3,1016.9,13.8,187,
85120,2003,3,1018.7,1014.3,14.1,77,
85120,2009,3,1024.6,1015,14.1,19,
85120,2010,3,1013.7,1005.1,13.8,250,
85120,2011,3,1020.4,1011.8,13.7,816,
85120,2012,3,1021.4,1013.7,15,980,
85120,2013,3,1005.5,996.2,14.3,287,
85120,2014,3,1024.4,1015.2,14.3,113,
85120,2015,3,1028.8,1019.5,14.3,10,
85120,2016,3,1024.6,1015.4,14,57,
85120,2017,3,,,,,
85120,2018,3,1016.3,1006.5,14.9,9,
85120,2019,3,1027.2,1017.9,14.8,2,
